species ,redlistCategory,ext.prob,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48
Balaena_mysticetus_mask,Least Concern,0.060625,3.92E-05,-0.002865704,-0.001609436,-0.006641484,-0.003792052,-0.000423906,0.001737441,-0.003362828,-0.000551743,0.000550021,0.00189563,-0.001105093,0.001512942,0.000430647,-0.001127689,-0.001122495,-0.000119851,-2.54E-05,0.000378736,0.000231746,-0.000467048,0.000197696,-0.0014372,6.35E-05,-0.000398054,4.71E-05,0.000723894,8.23E-06,-0.000415387,-0.00014124,-0.000189972,-3.16E-05,6.18E-05,2.73E-05,0.000190894,0.000123712,-6.08E-05,2.31E-05,2.46E-06,-0.000122127,3.43E-05,3.63E-05,-3.70E-05,9.49E-06,-5.71E-05,9.34E-06,2.69E-05,-2.96E-05
Balaenoptera_acutorostrata_mask,Least Concern,0.060625,-0.003473537,-0.012109354,-0.002783876,0.003075991,-0.000556664,-0.001472174,-0.001848808,0.00020936,0.000517275,-0.001731152,-0.000598576,0.000626739,-0.000675057,0.000221912,0.00050144,0.000498963,0.000123311,-0.000437853,-0.00043822,-0.000640941,7.13E-06,0.000188812,-8.23E-05,-0.000103852,-0.00028797,5.35E-05,0.000274407,0.000478657,1.40E-05,-0.000249909,0.000328654,-4.78E-05,7.03E-05,0.000232262,0.00027942,-0.000159294,0.000107464,8.83E-05,4.58E-05,9.52E-06,0.000110803,4.54E-05,-9.83E-05,5.87E-05,-5.73E-05,1.63E-05,2.04E-05,7.79E-07
Balaenoptera_bonaerensis_mask,Critically Endangered,0.97,0.0026898,-0.006423664,0.002368622,-0.000232018,-0.003828376,-0.001716672,-0.000630115,0.001615952,-0.001063272,-0.001754851,-0.000835964,0.00092997,-0.000205629,0.000524894,-0.000162474,0.000341228,0.000306889,0.001172711,-0.000475994,4.92E-06,0.000263462,0.000169496,0.000195484,7.74E-05,0.000303963,0.000146068,-0.000235524,0.000102971,-8.43E-05,2.89E-05,2.38E-05,7.00E-05,-7.52E-05,0.000128834,5.19E-05,0.000123039,-6.95E-05,-0.0001131,-4.42E-05,-1.91E-05,-0.000103644,-9.28E-06,7.05E-05,2.38E-05,4.69E-05,3.43E-06,1.33E-05,-2.98E-05
Balaenoptera_borealis_mask,Endangered,0.485,-0.000524843,-0.009062379,0.003044959,0.001797588,-0.002382273,-0.001478888,-0.002516671,-0.000157614,-0.000887166,-0.002091366,0.000320878,0.00064279,-0.00030518,0.000659944,0.000155179,0.000595521,-0.000367779,0.000839961,-0.000477946,-0.000255638,5.09E-05,-0.000482889,-8.06E-05,3.61E-05,0.000126591,0.000348439,-3.42E-05,4.20E-05,-0.000187276,-0.000493867,-0.000236202,-6.05E-05,-9.84E-05,-0.000208588,1.26E-05,-0.0001631,-1.63E-05,9.80E-05,-2.00E-05,-4.27E-05,-3.87E-05,4.02E-05,-6.20E-06,2.35E-05,5.65E-05,-4.47E-06,-1.03E-05,5.70E-07
Balaenoptera_edeni_mask,Least Concern,0.060625,0.01395269,-0.003895897,-0.00203981,0.00426227,0.002029624,0.001481925,-0.00165884,0.002430316,-0.001047854,-0.00066674,0.000690578,0.001019256,-0.000169667,5.67E-05,0.000298695,-0.000969442,-0.000717991,-7.46E-05,-0.000361535,-0.000582674,0.000373049,-0.000360157,-0.0002788,0.000170412,-0.000615634,-0.000269159,0.00034235,-9.18E-05,-0.000194245,4.97E-05,-0.000132471,3.03E-05,-2.94E-05,7.19E-05,7.00E-05,-9.85E-05,2.45E-05,-2.03E-05,-4.60E-05,-7.68E-05,4.88E-05,-6.63E-05,2.87E-05,3.05E-05,-3.80E-05,-1.35E-05,-1.34E-06,-2.66E-05
Balaenoptera_musculus_mask,Near Threatened,0.12125,-0.012475628,-0.014235737,0.003917134,-8.50E-05,0.000993775,-0.00046588,-0.002429565,0.000388049,0.000652297,8.06E-05,3.06E-05,-0.000386539,-0.000545818,0.000281802,0.000803217,0.001639838,-0.000215726,-0.000953319,0.000311658,0.000126267,-0.000605677,-0.000233921,-0.000312381,-0.000795549,-0.000541785,0.000380806,0.00031836,-0.000988716,8.41E-05,0.000242703,-8.05E-05,6.10E-05,8.98E-05,0.000202669,-9.53E-05,-8.55E-05,-1.74E-05,-9.41E-05,0.000102572,-6.61E-05,1.45E-05,-0.00012021,-2.61E-05,-0.000106389,-5.90E-06,-2.99E-05,-1.44E-05,1.16E-05
Balaenoptera_physalus_mask,Endangered,0.485,-0.001491271,-0.010881633,0.004452192,0.00154977,-0.002236343,-0.001659309,-0.002522768,8.76E-05,-0.001642159,-0.0023534,6.08E-05,-0.000691333,-0.000249535,-0.000328097,3.57E-05,0.000404634,0.000560785,0.000490027,0.000589538,0.000131858,-0.000298181,-2.84E-05,7.68E-05,-0.000343092,0.000438499,-5.03E-05,-7.47E-05,-4.98E-06,-0.000141256,0.000119486,-6.50E-05,0.000205668,7.16E-05,-0.000377786,3.93E-05,0.000268713,2.42E-05,-0.000122252,-5.05E-05,8.53E-05,-3.78E-05,1.90E-05,-5.73E-06,5.30E-05,-7.74E-05,2.44E-05,8.19E-06,4.84E-06
Berardius_arnuxii_mask,Least Concern,0.060625,0.010186368,-0.001713376,-3.89E-05,0.001550239,0.001266402,0.001322188,-0.000337511,-0.000270567,0.0001267,0.000298169,-6.12E-05,-0.000101204,-2.46E-05,0.000171223,-0.0002006,-6.80E-05,-0.000588314,-0.000190354,3.80E-05,-0.000382822,2.07E-05,4.27E-05,3.67E-05,1.72E-05,-0.000148334,-9.11E-05,6.46E-05,-0.000327823,-5.28E-05,0.000178215,8.42E-05,-1.27E-05,-2.30E-05,-0.000260894,-0.000105206,-3.29E-05,0.000189925,-9.04E-05,1.35E-05,5.57E-05,-2.07E-05,2.28E-05,-1.78E-05,1.17E-05,-1.57E-05,5.78E-05,-4.67E-06,-9.72E-06
Berardius_bairdii_mask,Endangered,0.485,0.008662729,-0.003792469,-0.001109833,0.001941784,0.000957001,0.000162913,-0.000129931,8.82E-05,0.000277662,0.000838712,-0.000398502,5.30E-05,-0.00058389,2.57E-05,-0.000514166,-0.000692289,0.000328096,3.26E-05,8.81E-05,1.06E-05,6.86E-05,-0.000285264,8.60E-05,1.00E-04,3.89E-05,-0.000154903,-0.000124095,-0.000489828,-0.000352268,2.56E-05,-4.31E-05,-0.000149815,7.50E-06,0.000196109,-9.63E-05,-0.000137209,-0.000105254,2.50E-05,8.79E-05,9.45E-05,-4.74E-05,-4.38E-05,2.34E-05,3.13E-05,-1.46E-05,-1.92E-06,3.96E-05,3.99E-06
Caperea_marginata_mask,Vulnerable,0.2425,0.00279167,-0.006370127,0.000549317,0.001363288,-0.002306931,-0.00067053,-0.001254319,-0.001900972,-0.000786802,-0.002137184,0.000557017,0.000416472,-0.000500436,0.000500535,-0.000236064,-0.000250536,0.000341881,0.000903667,-1.80E-05,-4.62E-05,0.000397674,-0.000694463,0.000107508,0.000235009,-0.00019071,-0.000128776,0.000309699,0.000119235,-4.62E-05,4.99E-05,2.73E-06,0.000109698,2.76E-05,-0.000105056,-0.000139773,-0.000129596,0.000151511,2.08E-05,-4.71E-05,1.35E-05,0.000110352,7.52E-06,0.000158456,-5.92E-05,-1.04E-05,-1.37E-05,-5.42E-07,2.07E-05
