species,redlistCategory,ext.prob,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
Cephalorhynchus_commersonii_mask,Least Concern,0.060625,0.002013858,0.00331581,-0.001430895,0.001206818,-0.00290897,0.002422297,-0.000964905,0.000729329,-0.001279321,0.000490724,-9.92E-05,-0.000476924,0.000262389,0.000145407,-0.000318642,-0.000572034,0.000300228,0.000178419,0.000311702,0.000204166,0.000102755,0.000201063,-0.000532345,-0.000313546,-0.000207275,-0.000218131,-9.68E-06,-0.00010727,-3.05E-18
Cephalorhynchus_eutropia_mask,Near Threatened,0.12125,0.002674806,0.00587537,0.001737782,0.001780974,-0.002047248,0.000545159,-0.001668882,0.001279784,-0.000826879,0.0011418,0.000992455,-0.000658958,-8.82E-05,-0.000434667,-1.39E-05,-0.000193325,-0.000335504,-4.58E-05,-0.000256809,-5.01E-06,-0.000360742,0.000229085,0.000471034,9.68E-05,-0.000384286,9.87E-05,2.10E-05,0.000106863,-2.80E-18
Cephalorhynchus_heavisidii_mask,Near Threatened,0.12125,-0.005579455,0.001675124,0.003922826,0.001206069,0.001557389,0.001330231,-0.002146539,0.001997247,-0.000562052,0.001082095,0.000298176,0.000938552,-0.000937832,-0.000384409,0.000332166,0.000822916,0.000240705,-9.70E-05,0.000231892,0.000272827,0.000375875,-0.000487142,-0.000156099,8.53E-05,2.39E-05,0.000145555,5.25E-05,6.32E-06,-3.21E-18
Cephalorhynchus_hectori_mask,Endangered,0.485,-0.001145876,-0.00015107,-0.003530849,-0.000302024,-0.003940637,0.00335485,0.000623252,-0.000433582,5.92E-05,0.000177985,-0.000577419,0.000258149,-0.000869853,2.26E-05,0.000435899,-0.000117207,0.000316726,-0.000490742,0.000164178,1.78E-05,-0.0001656,0.000292209,1.09E-05,0.000295106,0.000319164,6.79E-05,-0.000191774,8.69E-05,-3.13E-18
Delphinus_delphis_mask,Least Concern,0.060625,0.003739025,0.006378601,0.003023136,0.001173544,0.001241803,-0.003184386,0.002985726,-0.000753669,-0.000459435,0.000835454,0.000345622,-0.001011037,-0.000820607,-0.000184697,0.000460464,-0.000314804,3.54E-05,-0.00024477,-0.000386147,0.000341935,-1.62E-05,0.000123954,-0.000334168,0.000149121,2.60E-05,0.000188917,-2.55E-06,-9.14E-05,-3.28E-18
Grampus_griseus_mask,Least Concern,0.060625,-0.009245032,-0.00550411,-0.008217152,0.000161857,0.002386977,-0.000835262,0.001235009,0.000484696,-0.002075032,-5.28E-05,-1.63E-05,-0.000795084,0.000887055,-0.000394342,7.67E-05,-5.99E-05,-2.60E-06,-0.00032381,0.000740626,0.000249296,-0.000155868,-0.000190933,0.000162202,-8.09E-05,-1.94E-05,0.00017821,-2.87E-05,-9.27E-06,-2.96E-18
Lagenodelphis_hosei_mask,Least Concern,0.060625,0.014044717,0.001906474,-0.004025239,0.001546408,0.002320487,-0.000202343,-0.00242291,-0.000457372,0.000975699,-0.000765419,0.001258149,-0.000619857,0.001026485,1.86E-05,0.000119977,0.000181589,0.000509395,-0.000585828,-0.000376931,6.57E-05,0.000395883,-6.42E-05,4.30E-05,6.95E-05,5.11E-05,-4.31E-05,-0.00015176,-1.22E-05,-3.87E-18
Lagenorhynchus_acutus_mask,Least Concern,0.060625,-0.010348669,0.001023343,-0.000965637,-0.001924006,0.004935173,-2.89E-05,-0.001648645,0.001904693,4.33E-05,0.000215053,-0.002314168,-0.000788346,-0.0004771,0.000415281,-0.000415294,-0.000521164,-0.000155733,8.93E-05,-0.000455073,-5.83E-05,0.000117378,0.000238955,6.36E-05,9.01E-05,6.55E-05,-0.000101611,-6.05E-05,1.68E-06,-2.79E-18
Lagenorhynchus_albirostris_mask,Least Concern,0.060625,-0.005958683,0.010475679,-0.001952651,-0.000940085,-0.000868861,0.000363543,0.001471243,-0.000434919,0.000348196,-0.000548998,0.000246335,-0.000591706,0.000264131,2.50E-05,-0.000646227,0.001039021,-2.01E-05,0.001001337,-0.000162894,0.000353422,-0.000145872,-0.000273802,4.91E-05,1.93E-05,7.06E-05,-0.000115775,-0.000121553,4.41E-05,-2.29E-18
Lagenorhynchus_australis_mask,Least Concern,0.060625,-0.001445849,0.001772666,-0.002437685,0.001170755,-0.001124411,-0.000798687,0.001457198,0.002377685,0.000208382,-0.000666675,0.001283246,0.001151907,0.000275158,-0.000114037,-0.000382122,-0.000800453,-0.000547137,-0.000217345,-0.00027527,0.000335304,0.000192704,-2.14E-05,2.93E-05,-9.30E-05,0.000309737,-0.000147831,0.000127879,0.000104075,-3.20E-18
Lagenorhynchus_cruciger_mask,Least Concern,0.060625,-0.009601015,0.002339921,-0.004009936,-8.38E-05,0.001478338,0.000291387,-0.000421749,-0.002102235,0.001832305,0.001618409,0.00154295,-0.00012526,-0.000392246,0.000258854,-0.000686444,-0.000508834,0.000710232,0.000198975,0.000278369,-0.000332567,-8.33E-06,2.31E-05,4.15E-05,0.000104668,4.64E-05,1.93E-05,0.000176695,1.22E-06,-2.50E-18
Lagenorhynchus_obliquidens_mask,Least Concern,0.060625,-0.010746682,0.001553995,-0.000215809,0.000262349,-0.000163193,0.00016772,-0.001061103,-0.002739838,0.000855927,0.000666918,0.000192276,0.000703984,0.000274618,0.000174894,0.00092159,-8.69E-05,-0.0012661,-2.87E-06,0.000124494,0.00020986,0.000297707,0.000126856,9.49E-05,-4.86E-05,-7.78E-05,-6.05E-05,-7.88E-05,-9.99E-05,-2.50E-18
Lagenorhynchus_obscurus_mask,Least Concern,0.060625,-0.003289754,-0.001951266,-0.003969819,0.001803597,-0.000953252,-0.002323641,0.000980785,-0.000823692,-0.000351246,2.47E-05,-0.000716899,0.000532566,-0.00082583,-0.001361935,-7.21E-05,0.00048861,0.000293003,-8.94E-05,-0.000250555,-0.000486235,0.000355515,0.000175178,3.95E-05,-0.000366769,-0.000151179,-0.000132192,-4.82E-05,7.95E-05,-3.06E-18
