species,redlistCategory,ext.prob,vertical_position ,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41
Alopias_pelagicus_mask,Endangered,,pelagic-oceanic,0.0267178,0.016902863,0.004051984,0.00178306,-0.000564394,0.000459669,-0.004450037,0.002504037,-0.001837839,0.000284368,-0.001607729,0.000379955,-0.000198277,0.001105002,-0.001016369,0.000439677,-1.61E-05,-0.000149745,-0.001080694,4.36E-05,0.001273769,-0.000492174,-0.0001499,-0.000199866,-0.000242097,-0.00036274,0.000783158,0.00045142,6.34E-05,8.27E-05,0.000198047,0.000125646,-0.000235548,-3.68E-05,-6.21E-05,-3.07E-05,-3.45E-05,-4.30E-05,-3.66E-06,-2.65E-06,-3.23E-18
Alopias_superciliosus_mask,Vulnerable,,pelagic-oceanic,0.030373582,0.009453244,-0.000202524,-0.004508588,0.000528116,-0.009159332,-0.000358878,0.001464978,0.000553858,-0.004191547,-5.53E-05,-0.001707083,0.000866816,0.000875822,0.000644631,-0.001263217,0.001110557,-2.81E-05,0.001108275,-0.000347588,-0.000199261,-0.00025826,-3.66E-06,0.000337222,5.01E-05,1.52E-05,-0.000207019,-0.000309094,-7.78E-08,7.92E-05,-9.23E-05,-0.000153618,0.000102679,-3.95E-06,-7.86E-07,7.38E-06,2.93E-05,-1.32E-06,2.58E-05,1.28E-06,-1.42E-18
Alopias_vulpinus_mask,Endangered,,pelagic-oceanic,0.021178263,0.016335689,0.00772453,0.001853621,-0.000953789,0.001520149,-0.001480442,0.002196659,-0.002774967,0.002782523,-0.000209749,-0.000583538,-0.001987518,-0.00202721,0.000512886,0.001037203,-0.00068078,0.000632254,0.000397523,0.00025425,-0.000826434,0.000684284,0.000458456,-6.86E-05,0.000190559,0.000214267,-0.00073039,-0.00021537,2.82E-05,-5.71E-05,-0.000129856,-6.36E-05,0.0001594,5.52E-05,8.23E-05,1.94E-05,8.05E-06,6.48E-05,1.66E-05,1.27E-06,-4.05E-18
Carcharhinus_albimarginatus_mask,Critically Endangered,,reef-associated,0.01323261,-0.006906714,-0.001965971,-0.002241523,-0.00051404,0.001740862,0.00026049,0.001629751,-0.000354111,0.000671728,0.001951731,-0.000466351,0.0007585,-0.001301756,-0.000391755,7.32E-05,0.000709178,-9.28E-05,-0.000684202,-0.000160563,0.000323852,-8.76E-05,-0.000128141,-0.000100216,0.000140353,0.000486155,-0.00016595,-1.30E-05,9.85E-05,0.000407579,-3.10E-05,5.89E-05,2.61E-05,-0.000437349,-0.000206253,-7.66E-05,-4.51E-05,-3.96E-05,-1.38E-05,7.86E-05,-2.74E-18
Carcharhinus_altimus_mask,Critically Endangered,,benthopelagic,0.00674283,-0.006062825,0.00158634,-0.000977325,-0.003215944,0.001523872,-0.000330318,-0.001046062,-0.000570401,-0.000687892,0.000119466,0.000863871,-0.001286477,0.000916282,-0.001528719,-0.000639443,0.000528288,-0.000307344,0.000235237,6.48E-05,-6.75E-05,0.000580949,-8.90E-05,-2.21E-05,1.64E-05,6.65E-06,0.000525153,0.000106866,-0.000360119,-0.000327509,-3.72E-05,-2.90E-05,0.000439492,-0.000340155,1.70E-05,0.000202896,8.86E-05,0.000366529,8.92E-05,-2.54E-07,-1.96E-18
Carcharhinus_brachyurus_mask,Least Concern,,pelagic-oceanic,0.009172822,-0.004684283,-0.002415181,-0.000289931,-0.000874472,0.001563866,0.002105317,0.000231487,0.002131914,0.000738446,-0.00140835,-0.00121824,0.000218776,-0.000290277,-0.000566306,-0.001219207,-0.000504744,-0.00051162,-0.000155274,-0.000403837,0.001431541,-0.000323929,0.001057084,-9.88E-05,0.000139677,-0.000183623,-0.000550425,0.000157907,0.000535855,-0.000100673,5.74E-05,0.000230923,0.000215675,0.000327305,7.89E-05,-0.000164319,0.000115724,0.000187326,-0.000154511,9.00E-07,-1.99E-18
Carcharhinus_brevipinna_mask,Endangered,,pelagic-oceanic,0.006052868,-0.002282509,0.001977354,0.001287893,-0.005589846,-0.000357452,0.002105549,-0.001281356,0.000628031,-0.000524771,-0.001629476,-0.00094059,0.000379666,-0.000448949,-0.000537401,0.000115349,-0.000394176,-0.000656746,-7.25E-05,0.000259009,0.000111209,0.000737625,-0.000256995,0.001018958,0.000408863,0.000433428,-8.48E-05,0.000686723,-0.000401224,-0.000276276,0.000224374,0.000100998,0.000245965,3.67E-05,4.70E-06,0.000182991,5.84E-05,-0.000309816,-9.24E-05,-5.47E-07,-2.17E-18
Carcharhinus_falciformis_mask,Vulnerable,,pelagic-oceanic,0.009966918,-0.003782947,0.000696014,0.002945624,-0.003535037,0.003114882,-0.001172883,0.000620813,-4.03E-05,0.000772808,0.001464348,2.19E-05,0.001049391,0.001456116,0.000779462,-0.0006285,-0.000371573,-0.00057803,-7.86E-06,0.000115227,-0.000523171,-0.000191669,-0.001489919,0.000417868,7.23E-05,-0.000603742,-0.000510014,0.000191208,5.26E-05,0.000405725,-8.07E-05,-0.000281447,-0.000245743,0.000191243,6.46E-05,0.000244586,-0.000141501,0.000149551,-0.000151803,7.12E-07,-2.42E-18
Carcharhinus_galapagensis_mask,Endangered,,pelagic-oceanic,0.012942153,-0.006962756,-0.001753539,-0.001917304,-0.000797079,0.001515704,0.000301758,0.0014231,-0.000390265,0.000624439,0.002011091,-0.000438152,0.000707223,-0.0011972,-0.000461388,-2.23E-05,0.000744831,-0.000185547,-0.000573786,-7.36E-05,0.000240875,7.10E-06,-0.000175139,-0.000123668,0.000215463,0.000436955,-0.000243829,-7.91E-05,7.08E-05,0.000349605,-2.68E-05,9.17E-05,-3.92E-05,-0.000322462,-0.00024044,-8.54E-05,1.60E-05,-2.98E-05,1.78E-05,-8.47E-05,-2.65E-18
Carcharhinus_leucas_mask,Least Concern,,pelagic-oceanic,0.009663339,-0.008748029,0.000441456,-0.004669067,0.001995419,0.003266603,-0.001559274,-0.000989663,0.000514714,-0.000656048,0.001078029,-0.000678274,-0.002180549,-0.000127415,0.002034736,0.001282069,-0.000978216,0.000224965,0.001128021,0.00056162,0.000529325,-0.001259726,0.000104239,0.000393525,3.26E-05,-0.000493842,0.00024595,-0.000207464,-0.000281366,5.53E-05,-0.000191651,0.000265361,1.46E-05,-3.72E-05,-0.000157691,0.000138646,0.000238875,-7.04E-05,-2.76E-05,7.95E-07,-1.12E-18
