species,redlistCategory,ext.prob,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45
Balaena_mysticetus_mask,Least Concern,0.060625,0.003487882,4.56E-05,0.003377913,0.006280336,-0.003093365,0.001294732,-0.002478159,-0.002428406,0.000979495,-0.000668028,0.0009979,-0.001404114,0.000381444,-0.000105723,0.000410498,-2.13E-05,0.00025232,-0.001482068,0.000259013,2.33E-05,-0.000278091,-0.000157278,-0.00017292,0.000137332,7.11E-05,4.69E-05,-0.000250431,-3.77E-05,-3.17E-06,-9.52E-05,-0.000104293,0.00010031,1.41E-05,4.94E-05,2.95E-05,6.25E-06,2.55E-05,2.53E-05,1.46E-05,1.05E-05,3.10E-06,8.26E-06,1.27E-06,5.30E-07,3.06E-18
Balaenoptera_acutorostrata_mask,Least Concern,0.060625,0.007992055,-0.009185066,0.000931746,-0.004009639,-0.001614315,-0.001228059,0.000496309,0.000919222,-0.001132076,0.000871868,-0.000398255,-6.19E-05,-0.000880973,-0.000745349,0.000501245,-0.000179217,-0.000488637,-0.000252135,0.000730868,0.000496769,-0.000471734,-1.61E-05,-0.000296654,-0.000389031,-0.000124337,0.00023256,0.000222225,-5.45E-05,-0.000269363,7.48E-05,-1.67E-05,1.02E-05,4.72E-05,2.96E-05,-3.31E-05,7.36E-05,5.70E-05,8.78E-06,2.15E-05,7.99E-06,-1.82E-05,8.06E-06,-6.58E-06,4.13E-07,3.53E-18
Balaenoptera_bonaerensis_mask,Critically Endangered,0.97,0.000974253,-0.004712311,-0.002318195,0.001994705,-0.003387136,-0.001293251,0.00210438,0.001809149,-0.00040408,0.000125352,-0.001166518,0.00031084,0.000854653,0.000286078,0.000478283,-0.000371751,0.000124094,0.000168358,0.000162394,0.00023645,-0.000341569,1.24E-05,0.000159214,-6.24E-06,0.000364837,-9.39E-05,-5.05E-05,0.000209847,0.000316551,1.90E-05,-0.000253575,-3.66E-05,0.000136427,1.03E-05,-4.01E-05,1.61E-05,-1.69E-05,-1.37E-05,1.94E-05,4.71E-05,2.99E-05,-2.29E-06,-1.00E-05,-1.06E-06,4.08E-18
Balaenoptera_borealis_mask,Endangered,0.485,0.004586426,-0.006764112,-0.003749934,-0.000519736,-0.002905264,-0.001615393,0.001972136,-0.000279736,-0.000872753,-0.000373865,-0.000858814,-0.000688808,-0.000150597,0.00035364,0.000960155,0.000202769,0.000157786,0.000179401,-0.000454637,-0.000183997,-0.000334203,-0.000147085,0.000418537,6.24E-05,0.000254719,0.000174406,-5.82E-06,-4.22E-06,1.05E-06,1.12E-06,-3.79E-05,0.00011225,-0.0002238,-4.83E-05,1.98E-05,-5.05E-05,4.62E-05,-3.99E-05,-3.66E-05,-5.15E-05,-2.12E-05,6.31E-06,2.19E-05,-2.35E-06,6.48E-18
Balaenoptera_edeni_mask,Least Concern,0.060625,-0.010831111,-0.005066078,0.000639572,-0.003595988,0.00289407,1.11E-06,0.002106238,0.001108751,-0.000199726,-0.000624062,-7.58E-05,-0.001134951,0.000329195,-0.000723345,0.000650472,0.000389574,-0.000920344,-0.000357281,-0.000400479,-0.00030783,0.000409593,-0.000415695,-9.07E-05,-0.000110143,-7.57E-05,-4.69E-05,-5.43E-05,-0.000188852,4.75E-05,1.69E-05,-4.00E-05,3.49E-05,1.35E-05,0.000178901,-3.54E-05,-4.25E-06,-0.000103165,-2.81E-05,-2.77E-05,3.06E-05,-8.52E-06,-1.10E-05,3.32E-06,1.45E-07,2.00E-18
Balaenoptera_musculus_mask,Near Threatened,0.12125,0.017740999,-0.008135272,-0.004576487,-0.000976067,0.000229106,-0.000280422,0.001903216,-0.001092344,-0.000198003,0.001207301,0.000302648,0.001016709,-0.002035835,-0.000361398,-0.000678841,-0.000846644,0.000310241,-0.000629767,-0.000463995,-0.000493198,0.000154871,-0.000286736,-0.000447025,0.000211284,0.000107782,-4.34E-05,-2.82E-05,0.000125175,0.00013598,-3.09E-05,6.54E-05,-4.11E-05,2.43E-06,-1.38E-05,4.24E-05,-2.20E-05,-2.01E-05,-3.02E-06,-9.05E-06,2.29E-05,4.39E-06,-4.79E-06,-2.79E-07,-1.14E-06,3.74E-18
Balaenoptera_physalus_mask,Endangered,0.485,0.006025379,-0.008025247,-0.005009504,3.74E-05,-0.00297729,-0.001216449,0.002448286,-5.57E-05,-0.001286483,-0.000736815,0.000305267,-0.000289457,2.70E-05,0.001165475,-0.000805571,0.000300557,0.000145881,-0.00013846,-0.000239054,5.85E-05,0.000112772,0.000664712,9.55E-05,0.000316109,-0.000339302,-4.67E-05,-0.000127147,-0.000290436,-0.000139175,-7.60E-05,-2.80E-05,-5.13E-05,9.38E-05,3.80E-05,-8.34E-05,2.80E-06,-3.48E-05,4.36E-05,2.74E-05,-4.47E-05,1.32E-05,-4.01E-06,3.71E-06,4.04E-06,4.38E-18
Berardius_arnuxii_mask,Least Concern,0.060625,-0.007410712,-0.001553194,-0.000508415,-0.001067795,0.001685754,0.000266896,-4.27E-05,-0.000943139,-0.000232817,0.000147089,4.21E-05,-5.90E-05,-4.96E-05,-0.000461403,5.92E-05,-0.00030091,-0.00012795,-8.79E-05,1.43E-05,-0.000129447,0.000461302,0.000102377,0.000174969,0.000179178,-0.000368937,3.49E-05,9.28E-06,-6.85E-05,0.00011087,0.000185045,-0.0001253,9.51E-05,-4.73E-05,-0.000122407,-6.10E-05,8.31E-05,7.44E-05,4.31E-05,-0.000101748,1.34E-05,3.47E-05,1.61E-05,-1.20E-05,-1.29E-06,3.76E-18
Berardius_bairdii_mask,Endangered,0.485,-0.005534488,-0.003366352,0.000313712,-0.001757349,0.000885545,0.000566628,-6.51E-05,-0.000360311,0.000258642,0.001025328,-0.000126306,0.000249636,0.000639705,-0.000329623,-0.0007853,-8.17E-05,-0.000397593,-0.000348472,0.000285208,-1.66E-05,-4.11E-05,-0.000397769,0.000518784,0.000416185,-2.80E-05,-3.76E-05,0.00010962,4.23E-05,-0.000126275,0.000240693,-4.46E-05,3.50E-06,2.79E-05,-1.38E-05,6.75E-05,-0.000125879,1.27E-05,-1.00E-05,4.39E-05,-3.77E-05,1.01E-06,-8.39E-06,-1.49E-05,2.30E-05,2.67E-18
Caperea_marginata_mask,Vulnerable,0.2425,0.000764645,-0.0049484,-0.001257779,-0.000403128,-0.002654401,-0.001212572,-0.000304913,-0.00073524,-0.001099329,-0.000563548,-0.000820614,-0.001332565,0.00055289,0.000610489,0.000467839,0.000908178,-6.55E-05,0.000192254,0.000325621,-0.000506764,-1.28E-05,-0.000318087,-1.66E-05,-8.63E-07,-0.000154918,-0.00022098,3.64E-05,-1.76E-06,7.93E-05,-3.18E-05,0.000282799,-8.68E-05,1.40E-05,-0.000123022,0.00010384,3.28E-05,8.61E-06,2.10E-05,1.81E-05,3.75E-05,1.58E-06,-1.82E-06,-1.99E-05,-5.37E-06,3.84E-18
